Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
B6Z10,2010-12-01,1.5553,1.5647,1.5546,1.5616,0.0047,+0.30%,140194,88875
B6Z10,2010-12-02,1.5608,1.5667,1.5511,1.5578,-0.0038,-0.24%,141368,89776
B6Z10,2010-12-03,1.5595,1.5789,1.5578,1.5742,0.0164,+1.05%,132213,83548
B6Z10,2010-12-06,1.5774,1.5775,1.5653,1.5717,-0.0025,-0.16%,95495,83693
B6Z10,2010-12-07,1.5715,1.5823,1.5702,1.5767,0.005,+0.32%,126241,86269
B6Z10,2010-12-08,1.5762,1.5837,1.5668,1.5805,0.0038,+0.24%,149773,88838
B6Z10,2010-12-09,1.5805,1.5841,1.5711,1.575,-0.0055,-0.35%,157831,94920
B6H11,2010-12-10,1.5762,1.5853,1.5737,1.579,0.004,+0.25%,113580,92453
B6H11,2010-12-13,1.579,1.5887,1.5708,1.5858,0.0068,+0.43%,101725,67537
B6H11,2010-12-14,1.5846,1.59,1.5727,1.5767,-0.0091,-0.57%,105349,67820
B6H11,2010-12-15,1.5757,1.5764,1.552,1.5529,-0.0238,-1.51%,118925,70989
B6H11,2010-12-16,1.554,1.5628,1.5529,1.5596,0.0067,+0.43%,80523,70401
B6H11,2010-12-17,1.5627,1.5639,1.5444,1.5502,-0.0094,-0.60%,95708,70996
B6H11,2010-12-20,1.5508,1.5567,1.5467,1.5495,-0.0007,-0.05%,68410,70562
B6H11,2010-12-21,1.5496,1.556,1.5426,1.5454,-0.0041,-0.26%,66748,69207
B6H11,2010-12-22,1.546,1.5486,1.5346,1.5359,-0.0095,-0.61%,71956,77241
B6H11,2010-12-23,1.5378,1.5438,1.5363,1.5404,0.0045,+0.29%,58385,78641
B6H11,2010-12-27,1.5425,1.5448,1.5361,1.5395,-0.0009,-0.06%,31797,78346
B6H11,2010-12-28,1.5411,1.5505,1.5335,1.5361,-0.0034,-0.22%,59740,82141
B6H11,2010-12-29,1.5364,1.551,1.5342,1.5501,0.014,+0.91%,58960,81123
B6H11,2010-12-30,1.5492,1.5527,1.5357,1.5407,-0.0094,-0.61%,66633,85200
B6H11,2010-12-31,1.5419,1.5659,1.5416,1.5581,0.0174,+1.13%,47307,82354
B6H11,2011-01-03,1.5536,1.5581,1.5424,1.5483,-0.0098,-0.63%,69780,87022
B6H11,2011-01-04,1.5475,1.5638,1.5447,1.5573,0.009,+0.58%,110918,84270
B6H11,2011-01-05,1.5584,1.562,1.5443,1.5485,-0.0088,-0.57%,110048,91167
B6H11,2011-01-06,1.5499,1.5557,1.5439,1.5461,-0.0024,-0.15%,126057,91957
B6H11,2011-01-07,1.5448,1.5573,1.5397,1.5541,0.008,+0.52%,118620,85999
B6H11,2011-01-10,1.5526,1.5595,1.5467,1.5575,0.0034,+0.22%,90965,87419
B6H11,2011-01-11,1.5568,1.5633,1.5506,1.5593,0.0018,+0.12%,116487,86335
