Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
D6Z10,2010-12-01,0.9746,0.9858,0.9733,0.9842,0.0096,+0.99%,102532,100641
D6Z10,2010-12-02,0.9818,0.9971,0.9811,0.9962,0.012,+1.22%,109613,107654
D6Z10,2010-12-03,0.9966,0.9997,0.9918,0.9954,-0.0008,-0.08%,109651,111595
D6Z10,2010-12-06,0.9963,0.9977,0.9916,0.9955,0.0001,+0.01%,69489,116358
D6Z10,2010-12-07,0.9943,0.9987,0.9871,0.9905,-0.005,-0.50%,124337,114999
D6Z10,2010-12-08,0.9882,0.9936,0.986,0.9896,-0.0009,-0.09%,126656,119393
D6Z10,2010-12-09,0.9891,0.9933,0.9874,0.9892,-0.0004,-0.04%,133004,131393
D6H11,2010-12-10,0.9875,0.9897,0.9865,0.9893,0.0001,+0.01%,71077,139689
D6H11,2010-12-13,0.9882,0.9953,0.9873,0.9906,0.0013,+0.13%,76839,142220
D6H11,2010-12-14,0.9902,0.9952,0.9871,0.9929,0.0023,+0.23%,69754,98638
D6H11,2010-12-15,0.9926,0.9981,0.9886,0.9942,0.0013,+0.13%,99751,106074
D6H11,2010-12-16,0.9938,0.995,0.9907,0.9925,-0.0017,-0.17%,56916,106926
D6H11,2010-12-17,0.9921,0.9944,0.9834,0.9877,-0.0048,-0.48%,88025,95644
D6H11,2010-12-20,0.9859,0.988,0.9777,0.9807,-0.007,-0.71%,65636,95159
D6H11,2010-12-21,0.981,0.9833,0.9766,0.9799,-0.0008,-0.08%,50308,91294
D6H11,2010-12-22,0.9814,0.9872,0.9799,0.9848,0.0049,+0.50%,45247,93158
D6H11,2010-12-23,0.9847,0.9915,0.9821,0.99,0.0052,+0.53%,46759,96692
D6H11,2010-12-27,0.99,0.9926,0.9875,0.9912,0.0012,+0.12%,18412,98944
D6H11,2010-12-28,0.9915,1.001,0.9914,0.9986,0.0074,+0.75%,61269,113223
D6H11,2010-12-29,0.9962,1.001,0.993,0.9981,-0.0005,-0.05%,41945,117440
D6H11,2010-12-30,0.9978,0.9995,0.9964,0.9988,0.0007,+0.07%,33636,118848
D6H11,2010-12-31,0.9986,1.0061,0.9977,1.0044,0.0056,+0.56%,33539,121607
D6H11,2011-01-03,1.005,1.0097,1.0036,1.0067,0.0023,+0.23%,50669,126605
D6H11,2011-01-04,1.0051,1.0068,0.995,0.9989,-0.0078,-0.77%,78194,120758
D6H11,2011-01-05,1.0001,1.0053,0.9962,1.0024,0.0035,+0.35%,72839,124853
D6H11,2011-01-06,1.0021,1.0061,0.9991,1.0024,0,0.00%,72320,125114
D6H11,2011-01-07,1.0018,1.0088,0.9982,1.0063,0.0039,+0.39%,89745,123410
D6H11,2011-01-10,1.0059,1.0075,1.0002,1.0052,-0.0011,-0.11%,62777,125960
D6H11,2011-01-11,1.0055,1.0095,1.0036,1.0081,0.0029,+0.29%,62657,129480
D6H11,2011-01-12,1.0087,1.014,1.0081,1.011,0.0029,+0.29%,70414,130323
D6H11,2011-01-13,1.0121,1.0134,1.0078,1.0096,-0.0014,-0.14%,62071,130852
D6H11,2011-01-14,1.0097,1.0103,1.0011,1.0094,-0.0002,-0.02%,83474,129276
D6H11,2011-01-18,1.0109,1.0153,1.0054,1.0065,-0.0029,-0.29%,93759,128185
D6H11,2011-01-19,1.0074,1.0101,1.0022,1.0027,-0.0038,-0.38%,70740,125263
D6H11,2011-01-20,1.0033,1.0037,0.9957,1.0017,-0.001,-0.10%,99192,121117
D6H11,2011-01-21,1.0017,1.0082,1.0002,1.0042,0.0025,+0.25%,68324,122788
D6H11,2011-01-24,1.0058,1.0072,1.0007,1.004,-0.0002,-0.02%,47860,121053
D6H11,2011-01-25,1.0053,1.0078,0.9975,0.9994,-0.0046,-0.46%,77934,117077
D6H11,2011-01-26,1.0025,1.0054,0.9994,1.0037,0.0043,+0.43%,63458,118507
D6H11,2011-01-27,1.0041,1.0065,1.0003,1.0051,0.0014,+0.14%,77229,120415
D6H11,2011-01-28,1.0045,1.0054,0.9973,0.9989,-0.0062,-0.62%,85929,118845
D6H11,2011-01-31,0.9998,1.0029,0.9932,0.9978,-0.0011,-0.11%,87934,118355
D6H11,2011-02-01,0.999,1.0093,0.9983,1.007,0.0092,+0.92%,93611,119488
D6H11,2011-02-02,1.0084,1.0134,1.007,1.011,0.004,+0.40%,69405,127100
D6H11,2011-02-03,1.011,1.0127,1.007,1.0093,-0.0017,-0.17%,68226,134266
D6H11,2011-02-04,1.0085,1.0163,1.0035,1.0115,0.0022,+0.22%,107722,146275
D6H11,2011-02-07,1.0125,1.0137,1.0081,1.0092,-0.0023,-0.23%,55592,146866
D6H11,2011-02-08,1.0086,1.0125,1.0014,1.0033,-0.0059,-0.58%,84015,141604
D6H11,2011-02-09,1.0045,1.0079,1.0033,1.0044,0.0011,+0.11%,64388,137839
D6H11,2011-02-10,1.0055,1.0057,1.0006,1.0037,-0.0007,-0.07%,66733,134368
D6H11,2011-02-11,1.0038,1.0135,1.0008,1.0121,0.0084,+0.84%,88453,138066
D6H11,2011-02-14,1.0114,1.015,1.0093,1.0101,-0.002,-0.20%,56919,140564
D6H11,2011-02-15,1.0102,1.0145,1.0091,1.0106,0.0005,+0.05%,55398,140822
D6H11,2011-02-16,1.0099,1.0151,1.0096,1.0142,0.0036,+0.36%,61350,144571
D6H11,2011-02-17,1.0139,1.0182,1.0138,1.0151,0.0009,+0.09%,59925,147786
D6H11,2011-02-18,1.0148,1.0181,1.0122,1.013,-0.0021,-0.21%,73083,144849
D6H11,2011-02-22,1.0143,1.0177,1.0075,1.0092,-0.0038,-0.38%,134345,140610
D6H11,2011-02-23,1.0094,1.0139,1.0036,1.0096,0.0004,+0.04%,109171,135447
D6H11,2011-02-24,1.0105,1.0196,1.0094,1.0164,0.0068,+0.67%,110701,139065
