Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
DXZ10,2010-12-01,81.335,81.435,80.54,80.762,-0.509,-0.63%,33318,33401
DXZ10,2010-12-02,80.81,81.06,80.1,80.336,-0.426,-0.53%,37535,35640
DXZ10,2010-12-03,80.31,80.36,79.06,79.407,-0.929,-1.16%,32416,34265
DXZ10,2010-12-06,79.25,80,79.17,79.599,0.192,+0.24%,26968,35083
DXZ10,2010-12-07,79.745,80.125,79.215,79.864,0.265,+0.33%,30051,35071
DXZ10,2010-12-08,79.985,80.425,79.91,80.008,0.144,+0.18%,53655,33607
DXH11,2010-12-09,80.345,80.82,80.055,80.48,0.472,+0.59%,47951,34526
DXH11,2010-12-10,80.485,80.71,80.21,80.454,-0.026,-0.03%,29147,32601
DXH11,2010-12-13,80.55,80.685,79.425,79.606,-0.848,-1.05%,20687,25952
DXH11,2010-12-14,79.74,79.86,79.145,79.69,0.084,+0.11%,21190,25202
DXH11,2010-12-15,79.86,80.62,79.775,80.582,0.892,+1.12%,21553,25062
DXH11,2010-12-16,80.51,80.76,80.185,80.549,-0.033,-0.04%,17545,24856
DXH11,2010-12-17,80.37,81.01,79.895,80.752,0.203,+0.25%,19993,26077
DXH11,2010-12-20,80.75,81.09,80.675,80.972,0.22,+0.27%,15662,26185
DXH11,2010-12-21,80.955,81.185,80.575,81.069,0.097,+0.12%,14459,27089
DXH11,2010-12-22,80.955,81.125,80.625,81.073,0.004,0.00%,11668,26701
DXH11,2010-12-23,80.975,81.185,80.7,80.832,-0.241,-0.30%,10159,26543
DXH11,2010-12-27,80.985,81.01,80.515,80.679,-0.153,-0.19%,5066,26158
DXH11,2010-12-28,80.275,80.76,79.89,80.67,-0.009,-0.01%,10952,26398
DXH11,2010-12-29,80.715,80.715,79.995,80.102,-0.568,-0.70%,9270,26080
DXH11,2010-12-30,79.98,80.025,79.705,79.798,-0.304,-0.38%,12822,25364
DXH11,2010-12-31,79.735,79.785,79.025,79.288,-0.51,-0.64%,11962,26118
DXH11,2011-01-03,79.31,79.73,79.23,79.384,0.096,+0.12%,18955,27398
DXH11,2011-01-04,79.5,79.775,79.115,79.699,0.315,+0.40%,15401,27677
DXH11,2011-01-05,79.71,80.635,79.71,80.538,0.839,+1.05%,30095,29773
DXH11,2011-01-06,80.57,81.22,80.46,81.093,0.555,+0.69%,32412,35216
DXH11,2011-01-07,81.14,81.455,80.985,81.321,0.228,+0.28%,29249,34535
DXH11,2011-01-10,81.49,81.635,81.115,81.163,-0.158,-0.19%,19134,35610
DXH11,2011-01-11,81.265,81.45,81.035,81.135,-0.028,-0.03%,15705,36538
DXH11,2011-01-12,81.075,81.145,80.2,80.25,-0.885,-1.09%,34134,29212
DXH11,2011-01-13,80.29,80.445,79.21,79.406,-0.844,-1.05%,33249,28760
DXH11,2011-01-14,79.415,79.605,78.97,79.366,-0.04,-0.05%,7663,32815
DXH11,2011-01-18,79.635,79.665,78.755,79.16,-0.206,-0.26%,33183,33014
DXH11,2011-01-19,79.12,79.12,78.47,78.811,-0.349,-0.44%,22393,34661
DXH11,2011-01-20,78.885,79.34,78.6,78.984,0.173,+0.22%,24576,37425
DXH11,2011-01-21,79.015,79.095,78.01,78.37,-0.614,-0.78%,20195,37782
DXH11,2011-01-24,78.3,78.63,77.94,78.193,-0.177,-0.23%,25086,39353
DXH11,2011-01-25,78.155,78.57,77.95,78.145,-0.048,-0.06%,21648,39190
DXH11,2011-01-26,78.135,78.235,77.81,78.035,-0.11,-0.14%,21022,38754
DXH11,2011-01-27,77.855,78.28,77.71,77.854,-0.181,-0.23%,22180,38798
DXH11,2011-01-28,77.845,78.425,77.705,78.28,0.426,+0.55%,25505,39540
DXH11,2011-01-31,78.455,78.47,77.665,77.865,-0.415,-0.53%,23319,40858
DXH11,2011-02-01,77.76,77.79,77.065,77.193,-0.672,-0.86%,23638,42472
DXH11,2011-02-02,77.14,77.43,77,77.278,0.085,+0.11%,16027,42224
DXH11,2011-02-03,77.225,77.995,77.135,77.867,0.589,+0.76%,25422,41051
DXH11,2011-02-04,77.94,78.325,77.565,78.157,0.29,+0.37%,26395,42614
DXH11,2011-02-07,78.17,78.44,77.94,78.122,-0.035,-0.04%,16463,42971
DXH11,2011-02-08,78.135,78.195,77.715,78.094,-0.028,-0.04%,19683,44039
DXH11,2011-02-09,78.055,78.185,77.58,77.721,-0.373,-0.48%,22446,45584
DXH11,2011-02-10,77.76,78.435,77.75,78.327,0.606,+0.78%,22484,43156
DXH11,2011-02-11,78.23,78.795,78.21,78.565,0.238,+0.30%,23275,41674
DXH11,2011-02-14,78.495,78.98,78.375,78.717,0.152,+0.19%,16057,40282
DXH11,2011-02-15,78.63,78.83,78.395,78.66,-0.057,-0.07%,14432,40052
DXH11,2011-02-16,78.59,78.87,78.22,78.277,-0.383,-0.49%,25657,39197
DXH11,2011-02-17,78.28,78.41,77.99,78.065,-0.212,-0.27%,23661,39662
DXH11,2011-02-18,78.035,78.295,77.57,77.72,-0.345,-0.44%,5280,40254
DXH11,2011-02-22,77.88,78.39,77.635,77.823,0.103,+0.13%,27322,40335
DXH11,2011-02-23,77.71,77.745,77.295,77.444,-0.379,-0.49%,24510,43345
DXH11,2011-02-24,77.28,77.52,77.03,77.096,-0.348,-0.45%,18751,44211
DXH11,2011-02-25,77.115,77.46,76.975,77.3,0.204,+0.26%,17435,47038
DXH11,2011-02-28,77.255,77.435,76.78,76.921,-0.379,-0.49%,19852,47362
DXH11,2011-03-01,76.855,77.13,76.765,77.083,0.162,+0.21%,20325,46405
DXH11,2011-03-02,77.08,77.21,76.54,76.689,-0.394,-0.51%,33420,56933
DXH11,2011-03-03,76.71,76.875,76.375,76.495,-0.194,-0.25%,31957,56598
DXH11,2011-03-04,76.51,76.64,76.285,76.416,-0.079,-0.10%,33792,51157
DXH11,2011-03-07,76.35,76.57,76.145,76.514,0.098,+0.13%,32567,51748
DXH11,2011-03-08,76.52,76.995,76.425,76.8,0.286,+0.37%,39867,52704
DXH11,2011-03-09,76.9,76.975,76.54,76.719,-0.081,-0.11%,55569,65332
DXM11,2011-03-10,76.965,77.64,76.91,77.557,0.838,+1.09%,64438,68000
DXM11,2011-03-11,77.46,77.675,76.925,77.055,-0.502,-0.65%,43982,69672
DXM11,2011-03-14,76.81,77.04,76.47,76.635,-0.42,-0.55%,22433,51554
DXM11,2011-03-15,76.655,77.39,76.585,76.656,0.021,+0.03%,29751,51147
DXM11,2011-03-16,76.74,77.135,76.635,76.986,0.33,+0.43%,38321,54000
DXM11,2011-03-17,76.91,76.98,76.15,76.34,-0.646,-0.84%,29149,53689
DXM11,2011-03-18,76.29,76.765,75.79,75.971,-0.369,-0.48%,25197,52672
DXM11,2011-03-21,75.87,76.005,75.59,75.655,-0.316,-0.42%,20856,53349
DXM11,2011-03-22,75.705,75.805,75.505,75.673,0.018,+0.02%,21661,52822
DXM11,2011-03-23,75.83,76.19,75.67,76.046,0.373,+0.49%,25041,53777
DXM11,2011-03-24,76.11,76.305,75.7,75.888,-0.158,-0.21%,32325,53788
DXM11,2011-03-25,75.94,76.56,75.84,76.485,0.597,+0.79%,28309,51646
DXM11,2011-03-28,76.52,76.695,76.295,76.376,-0.109,-0.14%,17377,52229
DXM11,2011-03-29,76.49,76.7,76.17,76.502,0.126,+0.16%,20769,52915
DXM11,2011-03-30,76.38,76.67,76.245,76.357,-0.145,-0.19%,22295,53113
DXM11,2011-03-31,76.37,76.415,75.885,76.072,-0.285,-0.37%,23115,54215
DXM11,2011-04-01,76.3,76.87,76.035,76.083,0.011,+0.01%,32661,51604
DXM11,2011-04-04,76.23,76.235,75.935,76.159,0.076,+0.10%,13615,50739
DXM11,2011-04-05,76.25,76.4,75.995,76.111,-0.048,-0.06%,23730,50309
DXM11,2011-04-06,76.095,76.125,75.69,75.757,-0.354,-0.47%,22035,50775
DXM11,2011-04-07,75.78,76.055,75.735,75.81,0.053,+0.07%,22301,50718
DXM11,2011-04-08,75.795,75.835,75.06,75.273,-0.537,-0.71%,21000,51133
DXM11,2011-04-11,75.165,75.305,75.1,75.282,0.009,+0.01%,17019,50960
DXM11,2011-04-12,75.255,75.455,74.93,75.065,-0.217,-0.29%,27192,49843
DXM11,2011-04-13,75.065,75.34,74.95,75.19,0.125,+0.17%,22272,50331
DXM11,2011-04-14,75.16,75.37,74.835,74.888,-0.302,-0.40%,24254,49475
DXM11,2011-04-15,74.88,75.22,74.825,75.028,0.14,+0.19%,19120,49148
DXM11,2011-04-18,75.085,76.055,75.055,75.73,0.702,+0.94%,39172,49917
DXM11,2011-04-19,75.685,75.845,75.205,75.249,-0.481,-0.64%,22253,50159
DXM11,2011-04-20,75.19,75.21,74.455,74.567,-0.682,-0.91%,28242,49166
DXM11,2011-04-21,74.195,74.535,73.935,74.18,-0.387,-0.52%,23925,50645
DXM11,2011-04-25,74.3,74.47,74.01,74.181,0.001,0.00%,15523,51089
DXM11,2011-04-26,74.28,74.52,73.935,74.025,-0.156,-0.21%,17336,51693
DXM11,2011-04-27,73.73,74.205,73.435,73.691,-0.334,-0.45%,31647,50856
DXM11,2011-04-28,73.5,73.5,73.05,73.311,-0.38,-0.52%,26291,50914
DXM11,2011-04-29,73.255,73.38,73.015,73.107,-0.204,-0.28%,18505,49367
DXM11,2011-05-02,73.185,73.48,72.895,73.139,0.032,+0.04%,23384,51715
DXM11,2011-05-03,73.31,73.49,73.01,73.315,0.176,+0.24%,24587,53901
DXM11,2011-05-04,73.26,73.48,72.86,73.213,-0.102,-0.14%,36689,56407
DXM11,2011-05-05,73.28,74.42,72.985,74.375,1.162,+1.59%,61018,57781
DXM11,2011-05-06,74.26,75.18,74.11,75.08,0.705,+0.95%,67267,56622
DXM11,2011-05-09,75.025,75.36,74.605,74.9,-0.18,-0.24%,51781,52526
DXM11,2011-05-10,74.775,75.175,74.685,74.782,-0.118,-0.16%,32500,52362
DXM11,2011-05-11,74.735,75.62,74.53,75.517,0.735,+0.98%,55564,56546
DXM11,2011-05-12,75.495,75.835,75.205,75.417,-0.1,-0.13%,39425,56184
DXM11,2011-05-13,75.415,76.14,74.945,75.938,0.521,+0.69%,46176,56059
DXM11,2011-05-16,76.08,76.19,75.41,75.651,-0.287,-0.38%,36566,57282
DXM11,2011-05-17,75.82,76.015,75.475,75.545,-0.106,-0.14%,40151,55791
DXM11,2011-05-18,75.415,75.735,75.23,75.632,0.087,+0.12%,31809,56608
DXM11,2011-05-19,75.485,75.71,75.185,75.277,-0.355,-0.47%,41424,57855
DXM11,2011-05-20,75.195,75.92,75.085,75.579,0.302,+0.40%,42184,60416
DXM11,2011-05-23,75.845,76.54,75.825,76.234,0.655,+0.87%,39267,61876
DXM11,2011-05-24,76.445,76.45,75.96,76.023,-0.211,-0.28%,27363,61833
DXM11,2011-05-25,76.115,76.395,75.835,76.03,0.007,+0.01%,31830,60501
DXM11,2011-05-26,76.095,76.095,75.415,75.632,-0.398,-0.52%,32070,57846
DXM11,2011-05-27,75.62,75.67,74.895,75.018,-0.614,-0.81%,3104,56856
DXM11,2011-05-31,74.83,74.84,74.495,74.696,-0.322,-0.43%,26293,55794
DXM11,2011-06-01,74.525,74.955,74.345,74.731,0.035,+0.05%,34274,58996
DXM11,2011-06-02,74.865,74.955,74.26,74.375,-0.356,-0.48%,32460,59680
DXM11,2011-06-03,74.365,74.505,73.725,73.807,-0.568,-0.76%,37409,60125
DXM11,2011-06-06,73.77,74.085,73.665,73.999,0.192,+0.26%,45798,62024
DXM11,2011-06-07,73.955,74.065,73.515,73.528,-0.471,-0.64%,44250,62825
DXM11,2011-06-08,73.585,73.995,73.56,73.939,0.411,+0.56%,58109,69817
DXU11,2011-06-09,74.27,74.675,74.05,74.599,0.66,+0.89%,70816,69791
DXU11,2011-06-10,74.55,75.34,74.44,75.186,0.587,+0.79%,55620,78278
DXU11,2011-06-13,75.25,75.37,74.815,74.874,-0.312,-0.41%,25439,53311
DXU11,2011-06-14,74.875,75.005,74.59,74.692,-0.182,-0.24%,19040,53773
DXU11,2011-06-15,74.82,76.135,74.82,76.072,1.38,+1.85%,41159,51078
DXU11,2011-06-16,75.975,76.505,75.855,76.224,0.152,+0.20%,35301,51083
DXU11,2011-06-17,75.92,76.25,75.355,75.461,-0.763,-1.00%,33753,47209
DXU11,2011-06-20,75.615,75.95,75.365,75.5,0.039,+0.05%,24668,46633
DXU11,2011-06-21,75.26,75.455,74.92,74.931,-0.569,-0.75%,27039,46279
DXU11,2011-06-22,75.095,75.31,74.865,75.188,0.257,+0.34%,26548,45130
DXU11,2011-06-23,75.35,76.25,75.35,75.904,0.716,+0.95%,35973,45208
DXU11,2011-06-24,75.705,76.28,75.475,76.21,0.306,+0.40%,38764,52657
DXU11,2011-06-27,76.19,76.59,75.71,75.828,-0.382,-0.50%,35355,52709
DXU11,2011-06-28,75.665,75.96,75.26,75.49,-0.338,-0.45%,26633,50419
DXU11,2011-06-29,75.48,75.54,74.995,75.074,-0.416,-0.55%,35850,48510
DXU11,2011-06-30,74.915,74.915,74.54,74.635,-0.439,-0.58%,32879,45008
DXU11,2011-07-01,74.82,75.055,74.505,74.674,0.039,+0.05%,3420,46642
DXU11,2011-07-05,74.535,75.05,74.535,74.985,0.311,+0.42%,17342,47393
DXU11,2011-07-06,74.925,75.535,74.77,75.44,0.455,+0.61%,19828,46609
DXU11,2011-07-07,75.265,75.745,75.15,75.257,-0.183,-0.24%,21506,45595
DXU11,2011-07-08,75.215,75.73,75.13,75.514,0.257,+0.34%,32110,46225
DXU11,2011-07-11,75.56,76.555,75.54,76.374,0.86,+1.14%,36238,47686
DXU11,2011-07-12,76.395,77.175,76.085,76.234,-0.14,-0.18%,49676,49877
DXU11,2011-07-13,76.395,76.455,75.37,75.547,-0.687,-0.90%,37317,48722
DXU11,2011-07-14,75.06,75.645,74.99,75.562,0.015,+0.02%,37726,47632
DXU11,2011-07-15,75.44,75.745,75.29,75.52,-0.042,-0.06%,24862,46182
DXU11,2011-07-18,75.52,76.115,75.48,75.793,0.273,+0.36%,30702,46470
DXU11,2011-07-19,75.63,75.82,75.18,75.513,-0.28,-0.37%,26092,46605
DXU11,2011-07-20,75.395,75.52,75.015,75.094,-0.419,-0.55%,26931,47491
DXU11,2011-07-21,74.97,75.37,74.125,74.231,-0.863,-1.15%,44625,51369
DXU11,2011-07-22,74.245,74.6,74.155,74.412,0.181,+0.24%,22201,53856
DXU11,2011-07-25,74.18,74.51,74.175,74.254,-0.158,-0.21%,17388,55046
DXU11,2011-07-26,74.31,74.395,73.605,73.629,-0.625,-0.84%,28470,60863
DXU11,2011-07-27,73.69,74.39,73.585,74.273,0.644,+0.87%,33070,58420
DXU11,2011-07-28,74.3,74.585,74.045,74.391,0.118,+0.16%,23418,60133
DXU11,2011-07-29,74.33,74.685,73.86,74.036,-0.355,-0.48%,28907,63046
DXU11,2011-08-01,74.13,74.745,73.755,74.456,0.42,+0.57%,31823,60491
DXU11,2011-08-02,74.49,74.915,74.345,74.666,0.21,+0.28%,30518,60529
DXU11,2011-08-03,74.72,74.855,74.085,74.199,-0.467,-0.63%,25736,61625
DXU11,2011-08-04,74.08,75.55,74.02,75.36,1.161,+1.56%,56791,58101
DXU11,2011-08-05,75.57,75.645,74.67,74.802,-0.558,-0.74%,39053,56573
DXU11,2011-08-08,74.39,75.215,74.15,74.938,0.136,+0.18%,38740,54899
DXU11,2011-08-09,75.015,75.1,73.99,74.724,-0.214,-0.29%,39518,57347
DXU11,2011-08-10,74.13,74.925,73.905,74.769,0.045,+0.06%,40371,56770
DXU11,2011-08-11,75.01,75.39,74.45,74.81,0.041,+0.05%,34258,53382
DXU11,2011-08-12,74.8,75.055,74.495,74.743,-0.067,-0.09%,17328,51955
DXU11,2011-08-15,74.625,74.745,73.84,73.929,-0.814,-1.09%,21722,53617
DXU11,2011-08-16,74,74.265,73.845,74.093,0.164,+0.22%,19047,54579
DXU11,2011-08-17,74.145,74.31,73.515,73.758,-0.335,-0.45%,21380,58364
DXU11,2011-08-18,73.875,74.545,73.81,74.315,0.557,+0.76%,26635,55480
DXU11,2011-08-19,74.475,74.57,73.685,74.106,-0.209,-0.28%,25889,55389
DXU11,2011-08-22,74.14,74.25,73.875,74.168,0.062,+0.08%,14029,55743
DXU11,2011-08-23,74.245,74.26,73.635,73.961,-0.207,-0.28%,21746,57901
DXU11,2011-08-24,73.9,74.175,73.715,74.087,0.126,+0.17%,20336,57595
DXU11,2011-08-25,74.115,74.505,73.89,74.362,0.275,+0.37%,22468,56131
DXU11,2011-08-26,74.285,74.55,73.765,73.869,-0.493,-0.66%,30152,57128
DXU11,2011-08-29,73.785,73.91,73.565,73.777,-0.092,-0.12%,13440,57277
DXU11,2011-08-30,73.75,74.25,73.68,73.996,0.219,+0.30%,26152,55670
DXU11,2011-08-31,74.055,74.245,73.89,74.173,0.177,+0.24%,18680,55677
DXU11,2011-09-01,74.235,74.865,74.2,74.557,0.384,+0.52%,26173,52492
DXU11,2011-09-02,74.59,74.86,74.345,74.839,0.282,+0.38%,10318,49446
DXU11,2011-09-06,75.37,76.115,74.67,76.057,1.218,+1.63%,52836,50566
DXU11,2011-09-07,75.94,75.965,75.32,75.566,-0.491,-0.65%,34102,48520
DXU11,2011-09-08,75.58,76.405,75.57,76.352,0.786,+1.04%,38161,49710
DXU11,2011-09-09,76.35,77.375,76.135,77.3,0.948,+1.24%,69715,50494
DXU11,2011-09-12,77.58,77.885,77.13,77.666,0.366,+0.47%,63776,57046
DXU11,2011-09-13,77.365,77.7,76.895,76.997,-0.669,-0.86%,71235,62802
DXZ11,2011-09-14,77.595,78.06,77.21,77.381,0.384,+0.50%,77899,69515
DXZ11,2011-09-15,77.405,77.6,76.585,76.777,-0.604,-0.78%,71402,70840
DXZ11,2011-09-16,76.82,77.305,76.815,77.092,0.315,+0.41%,44284,75935
DXZ11,2011-09-19,77.56,78.06,77.405,77.639,0.547,+0.71%,34946,63233
DXZ11,2011-09-20,77.83,77.96,77.325,77.528,-0.111,-0.14%,24677,62452
DXZ11,2011-09-21,77.45,78.455,77.235,77.859,0.331,+0.43%,44898,65375
DXZ11,2011-09-22,78.4,79.4,78.335,79.1,1.241,+1.59%,49776,66276
DXZ11,2011-09-23,78.9,79.32,78.59,79.228,0.128,+0.16%,36327,67283
DXZ11,2011-09-26,78.995,79.645,78.69,79.063,-0.165,-0.21%,27944,68311
DXZ11,2011-09-27,78.82,78.995,77.93,78.028,-1.035,-1.31%,31890,68631
DXZ11,2011-09-28,78.32,78.66,77.835,78.429,0.401,+0.51%,32959,71269
DXZ11,2011-09-29,78.735,78.745,78.025,78.603,0.174,+0.22%,26113,72604
DXZ11,2011-09-30,78.455,79.315,78.37,79.075,0.472,+0.60%,29978,71675
DXZ11,2011-10-03,79.44,80.22,79.305,79.937,0.862,+1.09%,33155,71684
DXZ11,2011-10-04,80.125,80.43,79.38,80.104,0.167,+0.21%,36824,72521
DXZ11,2011-10-05,79.64,79.87,79.28,79.385,-0.719,-0.90%,31504,72586
DXZ11,2011-10-06,79.46,79.98,78.935,79.088,-0.297,-0.37%,34510,71612
DXZ11,2011-10-07,79.05,79.25,78.45,79.149,0.061,+0.08%,35481,72929
DXZ11,2011-10-10,79.075,79.18,77.67,77.811,-1.338,-1.69%,25672,71251
DXZ11,2011-10-11,77.98,78.28,77.775,77.908,0.097,+0.12%,21268,69667
DXZ11,2011-10-12,78,78.24,77.115,77.274,-0.634,-0.81%,35065,69491
DXZ11,2011-10-13,77.31,77.74,77.095,77.284,0.01,+0.01%,22372,68984
DXZ11,2011-10-14,77.425,77.565,76.795,76.907,-0.377,-0.49%,21324,69705
DXZ11,2011-10-17,76.81,77.535,76.7,77.428,0.521,+0.68%,24554,70080
DXZ11,2011-10-18,77.46,77.855,77.045,77.412,-0.016,-0.02%,35319,68006
DXZ11,2011-10-19,77.45,77.49,76.815,77.416,0.004,+0.01%,30320,66922
DXZ11,2011-10-20,77.365,77.79,76.97,77.236,-0.18,-0.23%,36145,67139
DXZ11,2011-10-21,77.19,77.505,76.465,76.628,-0.608,-0.79%,33563,66737
DXZ11,2011-10-24,76.6,76.775,76.195,76.262,-0.366,-0.48%,31901,65142
DXZ11,2011-10-25,76.335,76.655,76.135,76.321,0.059,+0.08%,35749,63947
DXZ11,2011-10-26,76.48,76.87,76.065,76.473,0.152,+0.20%,32045,63474
DXZ11,2011-10-27,76.455,76.46,74.86,75.011,-1.462,-1.91%,45430,65200
DXZ11,2011-10-28,75.08,75.305,75.045,75.216,0.205,+0.27%,20160,64606
DXZ11,2011-10-31,75.215,76.72,75.11,76.306,1.09,+1.45%,33722,64606
DXZ11,2011-11-01,76.63,77.84,76.595,77.39,1.084,+1.42%,37576,63639
DXZ11,2011-11-02,77.62,77.645,76.85,77.181,-0.209,-0.27%,29195,62686
DXZ11,2011-11-03,77.505,77.68,76.75,76.856,-0.325,-0.42%,42795,62474
DXZ11,2011-11-04,76.89,77.505,76.775,77.162,0.306,+0.40%,33589,61011
DXZ11,2011-11-07,77.125,77.595,76.995,77.141,-0.021,-0.03%,20712,60322
DXZ11,2011-11-08,77.225,77.36,76.72,76.751,-0.39,-0.51%,19087,59861
DXZ11,2011-11-09,76.765,78.25,76.675,78.167,1.416,+1.84%,33810,58596
DXZ11,2011-11-10,78.215,78.42,77.625,77.973,-0.194,-0.25%,26289,58545
DXZ11,2011-11-11,77.885,77.96,76.92,77.131,-0.842,-1.08%,17072,58616
DXZ11,2011-11-14,76.975,77.84,76.925,77.753,0.622,+0.81%,19173,57606
DXZ11,2011-11-15,77.66,78.315,77.62,78.062,0.309,+0.40%,25225,57305
DXZ11,2011-11-16,78.175,78.605,78.04,78.206,0.144,+0.18%,26367,56233
DXZ11,2011-11-17,78.58,78.69,78.135,78.489,0.283,+0.36%,23056,55360
DXZ11,2011-11-18,78.54,78.56,77.74,78.255,-0.234,-0.30%,25840,54492
DXZ11,2011-11-21,78.23,78.71,78.145,78.463,0.208,+0.27%,21520,54999
DXZ11,2011-11-22,78.46,78.61,78.16,78.435,-0.028,-0.04%,22904,54442
DXZ11,2011-11-23,78.33,79.4,78.33,79.351,0.916,+1.17%,30478,57303
DXZ11,2011-11-24,79.185,79.375,78.925,79.351,0,0.00%,30478,57303
DXZ11,2011-11-25,79.39,79.875,79.33,79.831,0.48,+0.60%,14729,56579
DXZ11,2011-11-28,79.45,79.58,78.95,79.436,-0.395,-0.49%,24690,59430
DXZ11,2011-11-29,79.46,79.53,78.695,79.151,-0.285,-0.36%,21143,58641
DXZ11,2011-11-30,79.185,79.515,78.01,78.491,-0.66,-0.83%,31366,55363
DXZ11,2011-12-01,78.485,78.64,78.145,78.433,-0.058,-0.07%,21350,55108
DXZ11,2011-12-02,78.295,78.89,78.06,78.731,0.298,+0.38%,21239,55962
DXZ11,2011-12-05,78.735,78.78,78.265,78.671,-0.06,-0.08%,21307,58074
DXZ11,2011-12-06,78.69,78.975,78.52,78.571,-0.1,-0.13%,17688,57372
DXZ11,2011-12-07,78.575,78.81,78.355,78.552,-0.019,-0.02%,16062,56640
DXZ11,2011-12-08,78.49,79.09,78.15,78.912,0.36,+0.46%,26472,56328
DXZ11,2011-12-09,78.875,79.185,78.485,78.681,-0.231,-0.29%,18663,57058
DXZ11,2011-12-12,78.78,79.705,78.69,79.58,0.899,+1.14%,52024,62559
DXZ11,2011-12-13,79.635,80.455,79.35,80.289,0.709,+0.89%,61794,66540
DXH12,2011-12-14,80.98,81.415,80.78,81.289,1,+1.25%,66701,70997
DXH12,2011-12-15,81.225,81.315,80.77,80.992,-0.297,-0.37%,48836,73295
DXH12,2011-12-16,80.84,81.025,80.595,80.839,-0.153,-0.19%,48849,83073
DXH12,2011-12-19,80.83,81.07,80.68,80.807,-0.032,-0.04%,16591,68383
DXH12,2011-12-20,80.89,80.94,80.035,80.273,-0.534,-0.66%,22952,67062
DXH12,2011-12-21,80.105,80.445,79.55,80.35,0.077,+0.10%,24146,66061
DXH12,2011-12-22,80.36,80.505,79.955,80.306,-0.044,-0.05%,13239,66485
DXH12,2011-12-23,80.21,80.375,80.06,80.236,-0.07,-0.09%,7170,64252
DXH12,2011-12-27,80.15,80.235,80.04,80.135,-0.101,-0.13%,5656,64646
DXH12,2011-12-28,80.14,81.025,80.055,80.883,0.748,+0.93%,21111,67609
DXH12,2011-12-29,81.085,81.31,80.77,80.911,0.028,+0.03%,15454,69000
DXH12,2011-12-30,80.83,81.025,80.36,80.522,-0.389,-0.48%,12440,67562
DXH12,2012-01-03,80.155,80.225,79.83,79.912,-0.61,-0.76%,20046,66053
DXH12,2012-01-04,79.97,80.64,79.845,80.425,0.513,+0.64%,14086,65407
DXH12,2012-01-05,80.45,81.345,80.385,81.25,0.825,+1.03%,18602,65790
DXH12,2012-01-06,81.245,81.72,81.055,81.597,0.347,+0.43%,26723,67405
DXH12,2012-01-09,81.67,81.855,81.255,81.388,-0.209,-0.26%,16302,70601
DXH12,2012-01-10,81.27,81.4,81.015,81.101,-0.287,-0.35%,14069,69024
DXH12,2012-01-11,81.295,81.785,81.1,81.614,0.513,+0.63%,19407,69723
DXH12,2012-01-12,81.535,81.645,80.95,81.036,-0.578,-0.71%,21280,68147
DXH12,2012-01-13,81.06,82.045,80.735,81.791,0.755,+0.93%,5646,68499
DXH12,2012-01-17,81.67,81.68,81.01,81.429,-0.362,-0.44%,20235,68483
DXH12,2012-01-18,81.28,81.375,80.665,80.822,-0.607,-0.75%,22228,66934
DXH12,2012-01-19,80.715,80.805,80.23,80.405,-0.417,-0.52%,21620,66005
DXH12,2012-01-20,80.275,80.635,80.185,80.406,0.001,0.00%,14832,67041
DXH12,2012-01-23,80.535,80.585,79.755,79.934,-0.472,-0.59%,24822,64835
DXH12,2012-01-24,79.925,80.345,79.785,80.026,0.092,+0.12%,24896,64148
DXH12,2012-01-25,79.965,80.505,79.515,79.717,-0.309,-0.39%,30102,60150
DXH12,2012-01-26,79.64,79.65,79.19,79.513,-0.204,-0.26%,28893,60150
DXH12,2012-01-27,79.62,79.63,78.89,79.011,-0.502,-0.63%,28700,57268
DXH12,2012-01-30,78.96,79.57,78.96,79.302,0.291,+0.37%,22374,56075
DXH12,2012-01-31,79.165,79.63,78.855,79.417,0.115,+0.15%,24949,54946
DXH12,2012-02-01,79.48,79.665,78.745,79.033,-0.384,-0.48%,34833,53614
DXH12,2012-02-02,78.905,79.315,78.84,79.11,0.077,+0.10%,19657,52477
DXH12,2012-02-03,79.125,79.485,78.815,79.057,-0.053,-0.07%,25783,52763
DXH12,2012-02-06,79.19,79.645,79.1,79.186,0.129,+0.16%,18562,52165
DXH12,2012-02-07,79.2,79.37,78.57,78.675,-0.511,-0.65%,34483,53362
