Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
E6Z10,2010-12-01,1.2985,1.3182,1.2969,1.3132,0.0123,+0.95%,509510,208134
E6Z10,2010-12-02,1.3124,1.3247,1.3059,1.3202,0.007,+0.53%,497009,204013
E6Z10,2010-12-03,1.3213,1.3438,1.3192,1.3378,0.0176,+1.33%,421728,194415
E6Z10,2010-12-06,1.3407,1.3421,1.3244,1.332,-0.0058,-0.43%,379585,192652
E6Z10,2010-12-07,1.3307,1.34,1.3257,1.3286,-0.0034,-0.26%,417629,198099
E6Z10,2010-12-08,1.3267,1.328,1.3179,1.326,-0.0026,-0.20%,461934,200293
E6Z10,2010-12-09,1.3265,1.3327,1.3163,1.3236,-0.0024,-0.18%,488613,203603
E6H11,2010-12-10,1.3234,1.3278,1.3172,1.3224,-0.0012,-0.09%,322810,205518
E6H11,2010-12-13,1.32,1.343,1.3176,1.3395,0.0171,+1.29%,320792,142879
E6H11,2010-12-14,1.3379,1.3493,1.3358,1.3383,-0.0012,-0.09%,373577,146781
E6H11,2010-12-15,1.3378,1.3378,1.3204,1.321,-0.0173,-1.29%,337697,149887
E6H11,2010-12-16,1.3216,1.3263,1.3178,1.321,0,0.00%,271351,152603
E6H11,2010-12-17,1.3238,1.3358,1.3129,1.3173,-0.0037,-0.28%,338376,157656
E6H11,2010-12-20,1.3163,1.318,1.3091,1.3114,-0.0059,-0.45%,217691,154473
E6H11,2010-12-21,1.3118,1.3199,1.3069,1.3088,-0.0026,-0.20%,228327,156136
E6H11,2010-12-22,1.3093,1.3179,1.3073,1.3083,-0.0005,-0.04%,215678,159288
E6H11,2010-12-23,1.3097,1.3148,1.305,1.3111,0.0028,+0.21%,201434,166503
E6H11,2010-12-27,1.3109,1.3168,1.3068,1.314,0.0029,+0.22%,93920,155997
E6H11,2010-12-28,1.3156,1.3272,1.3091,1.3114,-0.0026,-0.20%,205499,162312
E6H11,2010-12-29,1.3104,1.3239,1.308,1.3211,0.0097,+0.74%,155071,165299
E6H11,2010-12-30,1.3216,1.3313,1.3211,1.3282,0.0071,+0.54%,179335,162907
E6H11,2010-12-31,1.3287,1.3423,1.3284,1.3364,0.0082,+0.62%,90103,160687
E6H11,2011-01-03,1.3344,1.3394,1.3248,1.3362,-0.0002,-0.01%,232147,164004
E6H11,2011-01-04,1.335,1.3431,1.3287,1.3301,-0.0061,-0.46%,311101,163239
E6H11,2011-01-05,1.3306,1.3322,1.3121,1.3146,-0.0155,-1.17%,361524,168145
E6H11,2011-01-06,1.315,1.3165,1.2992,1.301,-0.0136,-1.03%,389255,185263
E6H11,2011-01-07,1.3,1.3023,1.2901,1.2929,-0.0081,-0.62%,436767,182750
E6H11,2011-01-10,1.2893,1.2961,1.287,1.2949,0.002,+0.15%,301423,191987
E6H11,2011-01-11,1.2944,1.2989,1.2899,1.2966,0.0017,+0.13%,321496,202004
E6H11,2011-01-12,1.2972,1.3142,1.2957,1.3128,0.0162,+1.25%,466266,203959
E6H11,2011-01-13,1.3122,1.3379,1.3084,1.3343,0.0215,+1.64%,519151,192847
E6H11,2011-01-14,1.3345,1.3453,1.331,1.3353,0.001,+0.07%,358560,183044
E6H11,2011-01-18,1.3369,1.3461,1.3234,1.338,0.0027,+0.20%,540784,188933
E6H11,2011-01-19,1.3382,1.3534,1.3362,1.3453,0.0073,+0.55%,374453,189216
E6H11,2011-01-20,1.3455,1.3518,1.339,1.3466,0.0013,+0.10%,385727,191039
E6H11,2011-01-21,1.3456,1.3622,1.3442,1.3591,0.0125,+0.93%,327466,191192
E6H11,2011-01-24,1.3602,1.368,1.3533,1.3629,0.0038,+0.28%,296957,190856
E6H11,2011-01-25,1.3632,1.3696,1.3566,1.3663,0.0034,+0.25%,394351,199706
E6H11,2011-01-26,1.3672,1.3714,1.3632,1.3675,0.0012,+0.09%,297610,203824
E6H11,2011-01-27,1.3692,1.3753,1.3629,1.3722,0.0047,+0.34%,385587,212206
E6H11,2011-01-28,1.3725,1.374,1.3576,1.3609,-0.0113,-0.82%,368950,205316
E6H11,2011-01-31,1.3575,1.3734,1.3564,1.3688,0.0079,+0.58%,333206,205561
E6H11,2011-02-01,1.3683,1.3836,1.3682,1.3813,0.0125,+0.91%,366707,211730
E6H11,2011-02-02,1.3815,1.3856,1.376,1.3792,-0.0021,-0.15%,276896,204863
E6H11,2011-02-03,1.3799,1.382,1.3604,1.3629,-0.0163,-1.18%,416907,198886
E6H11,2011-02-04,1.3622,1.3676,1.3538,1.3579,-0.005,-0.37%,369366,200782
E6H11,2011-02-07,1.3568,1.3621,1.3503,1.3582,0.0003,+0.02%,285402,200564
E6H11,2011-02-08,1.3575,1.3683,1.3568,1.3621,0.0039,+0.29%,351090,203541
E6H11,2011-02-09,1.3622,1.3739,1.3604,1.3718,0.0097,+0.71%,357228,205692
E6H11,2011-02-10,1.3717,1.3724,1.3572,1.3586,-0.0132,-0.96%,343184,201573
E6H11,2011-02-11,1.3595,1.3617,1.3492,1.3534,-0.0052,-0.38%,350185,193026
E6H11,2011-02-14,1.3525,1.3555,1.3424,1.3478,-0.0056,-0.41%,290954,193725
E6H11,2011-02-15,1.3488,1.3547,1.3457,1.3489,0.0011,+0.08%,320676,193304
E6H11,2011-02-16,1.3485,1.3586,1.3458,1.3564,0.0075,+0.56%,418821,194940
E6H11,2011-02-17,1.3555,1.3617,1.3533,1.3601,0.0037,+0.27%,295258,192808
E6H11,2011-02-18,1.3605,1.3714,1.3542,1.3681,0.008,+0.59%,356146,205737
E6H11,2011-02-22,1.3687,1.3714,1.3523,1.3658,-0.0023,-0.17%,510403,210254
E6H11,2011-02-23,1.3653,1.3785,1.3651,1.3741,0.0083,+0.61%,313154,210294
E6H11,2011-02-24,1.3747,1.3819,1.3701,1.3805,0.0064,+0.47%,314290,210109
E6H11,2011-02-25,1.3799,1.3837,1.3721,1.3741,-0.0064,-0.46%,240669,206992
E6H11,2011-02-28,1.3745,1.3854,1.371,1.3801,0.006,+0.44%,274531,217568
E6H11,2011-03-01,1.3803,1.3853,1.3761,1.377,-0.0031,-0.22%,279455,217066
E6H11,2011-03-02,1.3774,1.389,1.3742,1.386,0.009,+0.65%,343817,225445
E6H11,2011-03-03,1.3863,1.3975,1.3831,1.3956,0.0096,+0.69%,458003,236492
E6H11,2011-03-04,1.3959,1.4007,1.3938,1.3985,0.0029,+0.21%,364829,253246
E6H11,2011-03-07,1.399,1.4035,1.3954,1.3966,-0.0019,-0.14%,277426,252467
E6H11,2011-03-08,1.3968,1.3988,1.386,1.3901,-0.0065,-0.47%,357667,263702
E6H11,2011-03-09,1.3904,1.3941,1.3854,1.3903,0.0002,+0.01%,346657,281199
E6H11,2011-03-10,1.3906,1.3924,1.3774,1.3795,-0.0108,-0.78%,537039,299019
E6M11,2011-03-11,1.3784,1.3898,1.3733,1.3869,0.0074,+0.54%,422357,308267
E6M11,2011-03-14,1.3948,1.3984,1.3869,1.3973,0.0104,+0.75%,273980,190745
E6M11,2011-03-15,1.3969,1.3995,1.3836,1.3978,0.0005,+0.04%,381005,190848
E6M11,2011-03-16,1.3977,1.3984,1.3848,1.3882,-0.0096,-0.69%,370510,184217
E6M11,2011-03-17,1.3904,1.4036,1.385,1.3988,0.0106,+0.76%,311287,188732
E6M11,2011-03-18,1.3999,1.4167,1.3962,1.4137,0.0149,+1.07%,289630,192068
E6M11,2011-03-21,1.4159,1.4221,1.412,1.4207,0.007,+0.50%,234011,191864
E6M11,2011-03-22,1.4197,1.4229,1.4159,1.4185,-0.0022,-0.15%,219463,194709
E6M11,2011-03-23,1.4183,1.4196,1.4066,1.4103,-0.0082,-0.58%,310797,201591
E6M11,2011-03-24,1.4076,1.4202,1.4035,1.4164,0.0061,+0.43%,292414,210653
E6M11,2011-03-25,1.4156,1.4176,1.4036,1.4051,-0.0113,-0.80%,237107,210159
E6M11,2011-03-28,1.4029,1.4097,1.4,1.4078,0.0027,+0.19%,237345,218273
E6M11,2011-03-29,1.4065,1.413,1.4026,1.4068,-0.001,-0.07%,277900,218177
E6M11,2011-03-30,1.4088,1.4129,1.4031,1.41,0.0032,+0.23%,293701,223451
E6M11,2011-03-31,1.4107,1.4214,1.4096,1.4181,0.0081,+0.57%,313317,226985
E6M11,2011-04-01,1.4151,1.4227,1.4041,1.4216,0.0035,+0.25%,402443,229814
E6M11,2011-04-04,1.4217,1.4249,1.4173,1.4198,-0.0018,-0.13%,204664,231717
E6M11,2011-04-05,1.42,1.4226,1.4131,1.4205,0.0007,+0.05%,258853,236270
E6M11,2011-04-06,1.4202,1.4329,1.4197,1.4314,0.0109,+0.77%,313316,245924
E6M11,2011-04-07,1.4309,1.4316,1.4222,1.4278,-0.0036,-0.25%,337963,242135
E6M11,2011-04-08,1.4282,1.4468,1.427,1.4414,0.0136,+0.95%,258657,247497
E6M11,2011-04-11,1.4431,1.4462,1.44,1.4408,-0.0006,-0.04%,174984,243990
E6M11,2011-04-12,1.4415,1.45,1.4356,1.4466,0.0058,+0.40%,299310,243203
E6M11,2011-04-13,1.4459,1.45,1.4392,1.442,-0.0046,-0.32%,269925,242731
E6M11,2011-04-14,1.4424,1.4495,1.4345,1.4471,0.0051,+0.35%,299409,244115
E6M11,2011-04-15,1.4468,1.4484,1.437,1.4416,-0.0055,-0.38%,255638,242595
E6M11,2011-04-18,1.4399,1.4402,1.4137,1.4215,-0.0201,-1.39%,409797,241916
E6M11,2011-04-19,1.4214,1.4334,1.4186,1.4321,0.0106,+0.75%,258917,244006
E6M11,2011-04-20,1.4314,1.4532,1.4311,1.4497,0.0176,+1.23%,311205,249907
E6M11,2011-04-21,1.4505,1.4631,1.4487,1.4555,0.0058,+0.40%,277167,246991
E6M11,2011-04-25,1.4547,1.4609,1.4508,1.4567,0.0012,+0.08%,103508,248734
E6M11,2011-04-26,1.4562,1.464,1.4476,1.4614,0.0047,+0.32%,242669,249000
E6M11,2011-04-27,1.4629,1.4777,1.4614,1.4721,0.0107,+0.73%,314311,250993
E6M11,2011-04-28,1.4757,1.4864,1.4755,1.4802,0.0081,+0.55%,280591,248777
E6M11,2011-04-29,1.4807,1.4862,1.4781,1.482,0.0018,+0.12%,179800,249973
E6M11,2011-05-02,1.481,1.4885,1.4744,1.483,0.001,+0.07%,215138,259822
E6M11,2011-05-03,1.4809,1.4874,1.4738,1.4803,-0.0027,-0.18%,289429,267076
E6M11,2011-05-04,1.4807,1.4925,1.4758,1.4833,0.003,+0.20%,375703,267394
E6M11,2011-05-05,1.4813,1.4884,1.4496,1.4508,-0.0325,-2.19%,512012,261163
E6M11,2011-05-06,1.4524,1.4575,1.4294,1.4323,-0.0185,-1.28%,542320,251383
E6M11,2011-05-09,1.4351,1.443,1.4242,1.4324,0.0001,+0.01%,387555,245001
E6M11,2011-05-10,1.4339,1.4402,1.4258,1.4383,0.0059,+0.41%,320780,242927
E6M11,2011-05-11,1.4399,1.4413,1.4161,1.4184,-0.0199,-1.38%,361596,246772
E6M11,2011-05-12,1.419,1.4267,1.4115,1.4219,0.0035,+0.25%,370357,242139
E6M11,2011-05-13,1.4231,1.433,1.4056,1.41,-0.0119,-0.84%,391111,254172
E6M11,2011-05-16,1.4071,1.4236,1.4038,1.418,0.008,+0.57%,314317,255936
E6M11,2011-05-17,1.4151,1.4232,1.4112,1.4218,0.0038,+0.27%,350527,250533
E6M11,2011-05-18,1.4225,1.4279,1.4186,1.4216,-0.0002,-0.01%,289308,256392
E6M11,2011-05-19,1.4244,1.4319,1.4198,1.4303,0.0087,+0.61%,347560,261698
E6M11,2011-05-20,1.4303,1.4339,1.4126,1.4198,-0.0105,-0.73%,422781,264832
E6M11,2011-05-23,1.413,1.4139,1.3963,1.4054,-0.0144,-1.01%,415576,265346
E6M11,2011-05-24,1.4044,1.4127,1.3995,1.4103,0.0049,+0.35%,311627,258663
E6M11,2011-05-25,1.4092,1.4113,1.4006,1.407,-0.0033,-0.23%,382070,261428
E6M11,2011-05-26,1.4078,1.4203,1.4063,1.4137,0.0067,+0.48%,379877,266305
E6M11,2011-05-27,1.4131,1.43,1.4122,1.4268,0.0131,+0.93%,331292,265253
E6M11,2011-05-31,1.4308,1.4422,1.4254,1.4379,0.0111,+0.78%,346041,276622
E6M11,2011-06-01,1.4389,1.4458,1.4318,1.4369,-0.001,-0.07%,369654,275614
E6M11,2011-06-02,1.433,1.4512,1.4322,1.448,0.0111,+0.77%,354093,271346
E6M11,2011-06-03,1.4486,1.4641,1.4448,1.4622,0.0142,+0.98%,384242,276229
E6M11,2011-06-06,1.4629,1.4658,1.4555,1.4585,-0.0037,-0.25%,267393,276545
