Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
J6Z10,2010-12-01,0.011956,0.011995,0.011838,0.011878,-0.000081,-0.68%,166934,129322
J6Z10,2010-12-02,0.011884,0.01198,0.011853,0.011914,0.000036,+0.30%,137337,128444
J6Z10,2010-12-03,0.011926,0.01212,0.011914,0.012061,0.000147,+1.23%,176484,135787
J6Z10,2010-12-06,0.012089,0.012111,0.01205,0.012109,0.000048,+0.40%,102822,133853
J6Z10,2010-12-07,0.012101,0.012146,0.011953,0.011979,-0.00013,-1.07%,169942,132233
J6Z10,2010-12-08,0.011976,0.011982,0.011862,0.011906,-0.000073,-0.61%,222477,131679
J6Z10,2010-12-09,0.011901,0.011974,0.011888,0.011949,0.000043,+0.36%,185944,136985
J6H11,2010-12-10,0.011952,0.011995,0.011914,0.011932,-0.000017,-0.14%,111897,134431
J6H11,2010-12-13,0.011919,0.012045,0.011866,0.012013,0.000081,+0.68%,120585,94661
J6H11,2010-12-14,0.011995,0.012084,0.011946,0.011965,-0.000048,-0.40%,115967,96110
J6H11,2010-12-15,0.011969,0.011969,0.011842,0.011852,-0.000113,-0.94%,131847,91338
J6H11,2010-12-16,0.011877,0.011932,0.011852,0.011894,0.000042,+0.35%,101618,91184
J6H11,2010-12-17,0.011911,0.011961,0.011887,0.011932,0.000038,+0.32%,92074,87141
J6H11,2010-12-20,0.01192,0.011971,0.011899,0.011949,0.000017,+0.14%,71252,89061
J6H11,2010-12-21,0.011948,0.01199,0.011929,0.01195,0.000001,+0.01%,73127,90072
J6H11,2010-12-22,0.01195,0.012,0.011938,0.011974,0.000024,+0.20%,69518,90172
J6H11,2010-12-23,0.011975,0.01208,0.011974,0.012072,0.000098,+0.82%,94740,98503
J6H11,2010-12-27,0.012074,0.012112,0.012062,0.012084,0.000012,+0.10%,47686,102238
J6H11,2010-12-28,0.012088,0.012235,0.012084,0.012147,0.000063,+0.52%,100018,109343
J6H11,2010-12-29,0.012145,0.012264,0.01214,0.01226,0.000113,+0.93%,81536,117415
J6H11,2010-12-30,0.012255,0.012311,0.012224,0.012278,0.000018,+0.15%,86529,118901
J6H11,2010-12-31,0.012275,0.012365,0.012272,0.012328,0.00005,+0.41%,32742,121596
J6H11,2011-01-03,0.012345,0.012345,0.012243,0.01226,-0.000068,-0.55%,79086,125651
J6H11,2011-01-04,0.012246,0.012263,0.012163,0.012206,-0.000054,-0.44%,114243,128483
J6H11,2011-01-05,0.012191,0.012222,0.012,0.01201,-0.000196,-1.61%,185580,116766
J6H11,2011-01-06,0.012021,0.012075,0.011998,0.012016,0.000006,+0.05%,115437,115040
J6H11,2011-01-07,0.012013,0.012078,0.011952,0.012051,0.000035,+0.29%,171195,111984
J6H11,2011-01-10,0.012031,0.012104,0.012015,0.012085,0.000034,+0.28%,87848,109136
J6H11,2011-01-11,0.012098,0.0121,0.011983,0.01202,-0.000065,-0.54%,112326,107132
J6H11,2011-01-12,0.012005,0.012084,0.011987,0.01207,0.00005,+0.42%,126262,106508
J6H11,2011-01-13,0.012051,0.012121,0.012032,0.012096,0.000026,+0.22%,124092,106634
J6H11,2011-01-14,0.012086,0.01214,0.012044,0.012054,-0.000042,-0.35%,123508,105639
J6H11,2011-01-18,0.012067,0.012152,0.012053,0.012117,0.000063,+0.52%,154043,110405
J6H11,2011-01-19,0.012112,0.012223,0.012099,0.01219,0.000073,+0.60%,127377,114266
J6H11,2011-01-20,0.012187,0.012194,0.012034,0.012049,-0.000141,-1.16%,156515,107102
J6H11,2011-01-21,0.012053,0.012122,0.01204,0.012109,0.00006,+0.50%,103359,107781
J6H11,2011-01-24,0.012103,0.012155,0.012064,0.012124,0.000015,+0.12%,89651,109875
J6H11,2011-01-25,0.01212,0.012204,0.012101,0.012174,0.00005,+0.41%,136685,116661
J6H11,2011-01-26,0.012169,0.012202,0.012106,0.012127,-0.000047,-0.39%,97465,111979
J6H11,2011-01-27,0.012161,0.012198,0.012019,0.012078,-0.000049,-0.40%,176710,111280
J6H11,2011-01-28,0.012073,0.012201,0.012062,0.012175,0.000097,+0.80%,160282,111386
J6H11,2011-01-31,0.01218,0.012217,0.012161,0.012196,0.000021,+0.17%,100901,111595
J6H11,2011-02-01,0.01219,0.012303,0.012176,0.012285,0.000089,+0.73%,131382,116384
J6H11,2011-02-02,0.012289,0.0123,0.012219,0.012256,-0.000029,-0.24%,100863,118940
J6H11,2011-02-03,0.012271,0.012289,0.012188,0.012251,-0.000005,-0.04%,118749,123615
J6H11,2011-02-04,0.01226,0.012341,0.012127,0.012162,-0.000089,-0.73%,169010,117525
J6H11,2011-02-07,0.012165,0.012174,0.012128,0.012153,-0.000009,-0.07%,84332,114435
J6H11,2011-02-08,0.012147,0.012233,0.012133,0.012137,-0.000016,-0.13%,123068,117705
J6H11,2011-02-09,0.012152,0.012168,0.012098,0.012142,0.000005,+0.04%,129114,114870
J6H11,2011-02-10,0.012146,0.012147,0.011996,0.012003,-0.000139,-1.14%,190183,115184
J6H11,2011-02-11,0.012004,0.012015,0.011953,0.011979,-0.000024,-0.20%,116122,112739
J6H11,2011-02-14,0.01198,0.012037,0.011978,0.012004,0.000025,+0.21%,92566,110959
J6H11,2011-02-15,0.012007,0.012022,0.011918,0.011931,-0.000073,-0.61%,144921,116803
J6H11,2011-02-16,0.011943,0.011979,0.011909,0.01197,0.000039,+0.33%,146380,122897
J6H11,2011-02-17,0.011951,0.012027,0.011941,0.012,0.00003,+0.25%,129369,122559
J6H11,2011-02-18,0.012002,0.012047,0.011972,0.012032,0.000032,+0.27%,116835,121875
J6H11,2011-02-22,0.012032,0.012112,0.011987,0.012093,0.000061,+0.51%,214548,124016
J6H11,2011-02-23,0.01208,0.01215,0.012065,0.012122,0.000029,+0.24%,147590,118428
J6H11,2011-02-24,0.012132,0.012253,0.012122,0.012233,0.000111,+0.92%,169584,125216
J6H11,2011-02-25,0.012203,0.012251,0.012187,0.01224,0.000007,+0.06%,121328,128965
J6H11,2011-02-28,0.012246,0.012255,0.012199,0.012234,-0.000006,-0.05%,126247,132944
J6H11,2011-03-01,0.012247,0.012247,0.012161,0.012208,-0.000026,-0.21%,143803,136561
J6H11,2011-03-02,0.012212,0.012261,0.012178,0.012214,0.000006,+0.05%,139677,134976
J6H11,2011-03-03,0.01222,0.012237,0.012118,0.01214,-0.000074,-0.61%,188851,137354
J6H11,2011-03-04,0.012134,0.012165,0.012036,0.012144,0.000004,+0.03%,195029,132474
J6H11,2011-03-07,0.012162,0.012205,0.012137,0.012151,0.000007,+0.06%,130877,128916
J6H11,2011-03-08,0.012152,0.012164,0.012069,0.012096,-0.000055,-0.45%,157620,131247
J6H11,2011-03-09,0.012096,0.01211,0.012058,0.012094,-0.000002,-0.02%,191012,129330
J6H11,2011-03-10,0.012084,0.012093,0.012022,0.012047,-0.000047,-0.39%,235021,126526
J6M11,2011-03-11,0.012067,0.01226,0.012011,0.012222,0.000175,+1.45%,284377,135788
J6M11,2011-03-14,0.01224,0.012444,0.012136,0.012258,0.000036,+0.29%,176268,101197
J6M11,2011-03-15,0.012252,0.012415,0.012196,0.012378,0.00012,+0.98%,236388,114701
J6M11,2011-03-16,0.01239,0.012577,0.012328,0.012488,0.00011,+0.89%,224214,114459
J6M11,2011-03-17,0.012719,0.012957,0.012488,0.012655,0.000167,+1.34%,243084,119977
J6M11,2011-03-18,0.012653,0.012658,0.0122,0.012356,-0.000299,-2.36%,268469,119673
J6M11,2011-03-21,0.012371,0.012395,0.012305,0.012342,-0.000014,-0.11%,87387,113991
J6M11,2011-03-22,0.012343,0.012376,0.01231,0.012363,0.000021,+0.17%,81043,112051
J6M11,2011-03-23,0.012356,0.012398,0.01234,0.012376,0.000013,+0.11%,109927,111674
J6M11,2011-03-24,0.012361,0.01239,0.012342,0.01236,-0.000016,-0.13%,79619,111265
J6M11,2011-03-25,0.01235,0.012374,0.012276,0.012289,-0.000071,-0.57%,87944,111789
J6M11,2011-03-28,0.012293,0.012294,0.012223,0.012251,-0.000038,-0.31%,81080,108345
J6M11,2011-03-29,0.012245,0.01227,0.012128,0.012135,-0.000116,-0.95%,132082,100377
J6M11,2011-03-30,0.012133,0.012146,0.012026,0.012072,-0.000063,-0.52%,144486,92536
J6M11,2011-03-31,0.012068,0.012115,0.01202,0.01204,-0.000032,-0.27%,136559,91184
J6M11,2011-04-01,0.012026,0.01204,0.011806,0.011897,-0.000143,-1.19%,221016,112952
J6M11,2011-04-04,0.011887,0.011931,0.011855,0.011898,0.000001,+0.01%,88335,112020
J6M11,2011-04-05,0.011891,0.011901,0.011785,0.011793,-0.000105,-0.88%,125667,120632
J6M11,2011-04-06,0.011754,0.011793,0.011697,0.011713,-0.00008,-0.68%,137923,126683
J6M11,2011-04-07,0.011711,0.011825,0.011699,0.011779,0.000066,+0.56%,159015,128499
J6M11,2011-04-08,0.011766,0.011814,0.011714,0.011793,0.000014,+0.12%,127845,133616
J6M11,2011-04-11,0.011781,0.011838,0.011746,0.011816,0.000023,+0.20%,98413,133093
J6M11,2011-04-12,0.011813,0.011986,0.011798,0.011948,0.000132,+1.12%,172290,130084
J6M11,2011-04-13,0.011967,0.01198,0.011871,0.011932,-0.000016,-0.13%,119076,132993
J6M11,2011-04-14,0.011922,0.012059,0.011918,0.01199,0.000058,+0.49%,146097,137136
J6M11,2011-04-15,0.011977,0.012058,0.011937,0.012033,0.000043,+0.36%,93763,133390
J6M11,2011-04-18,0.01203,0.012171,0.012013,0.012104,0.000071,+0.59%,152650,132500
J6M11,2011-04-19,0.012121,0.01215,0.012086,0.012139,0.000035,+0.29%,107914,127838
J6M11,2011-04-20,0.012114,0.01216,0.012035,0.012139,0,0.00%,117618,127073
J6M11,2011-04-21,0.012111,0.012256,0.012111,0.012232,0.000093,+0.77%,115055,123357
J6M11,2011-04-25,0.012226,0.012247,0.012134,0.012231,-0.000001,-0.01%,55531,117848
J6M11,2011-04-26,0.012224,0.012275,0.012202,0.012256,0.000025,+0.20%,89970,114129
J6M11,2011-04-27,0.012259,0.012309,0.012075,0.012165,-0.000091,-0.74%,131355,114673
J6M11,2011-04-28,0.012164,0.012288,0.012156,0.012272,0.000107,+0.88%,113410,105402
J6M11,2011-04-29,0.012266,0.012342,0.012248,0.01233,0.000058,+0.47%,65497,101905
J6M11,2011-05-02,0.012333,0.012349,0.012242,0.01231,-0.00002,-0.16%,81953,103693
